,이성당,크리스마스,경암동,디저트,아메리카노,지린성,해수욕장,장자도,단팥빵,케이크,박물관,새만금,사진관,선유도,신흥동,칼국수,0,1
113,,,,,,,,,,,,,,,,,구경,Noun
114,0.5903176357879223,-0.1342722206129399,0.49895550800994953,0.9999999999999999,0.9999999999999999,0.561674981210138,0.695239418703825,,0.6272207455350318,-1.0,0.9999999999999999,0.8136325709023469,-0.00035493361961446253,0.488142683965881,0.4496976151728423,-0.3091549655730018,화투,Noun
115,0.33487579360575465,-0.06990272597223189,0.7897972493764988,,,,,,0.7042977264459422,,-1.0,,0.18729857109246822,0.03966159946531082,0.9007980722494695,,박물관,Noun
116,,,,,,,,,,,,,,,,,관광지,Noun
117,,,,,,,,,,,,,,,,,대학교,Noun
118,,,,,,,,,,,,,,,,,근대화,Noun
119,,,,,,,,,,1.0,-1.0,,,,,,에너지,Noun
120,,,,,,,,,,,,,,,,,케이크,Adjective
121,,,,,,,,,,,,,,,,,멋진,Noun
122,-1.0,0.30535965709560003,0.09728106458943742,1.0,,-1.0,1.0,1.0,,,0.6952394187038249,0.15105473950226764,0.6392212238886519,0.9235642300783476,0.9600512758637987,0.4734720922853924,작품,Noun
123,,,,,,,,,,,,,,,,,해수욕장,Noun
124,,1.0,,,,,,,,,1.0,,1.0,,1.0,,대표,Noun
125,,,,,,,,,,,,,,,,,투어,Noun
126,,,,,,,,,,,,,,,,,출처,Noun
127,,,,,,,,,,,,,,,,,정호,Noun
128,,,,,,,,,,,,,,,,,도시,Noun
129,,0.43390872663820435,0.5855723208440115,,,,0.953653016553947,,,,0.70192441619551,,0.5979905659501908,0.9350730063380153,0.7969871661337429,,겨울,Noun
130,,,1.0,,1.0,,,,,,0.9999999999999999,,0.9999999999999998,,,,역사,Noun
131,,,,,,,,,,,,,,,,,아메리카노,Noun
132,,,,,,,,,,,,,,,,,별빛,Noun
133,,,,,,,,,,,,,,,,,바디,Noun
134,,,,,,,,,,,,,,,,,본관,Noun
135,,,,,,,,,,,,,,,,,월세,Noun
136,,,,,,,,,,,,,,,,,에이본,Noun
137,0.8744243834006985,0.9791441444550844,0.6216141912821658,,,1.0,0.02441258282758864,,0.9791441444550844,,-0.6864881365670198,-1.0,-0.49905800357926267,0.8307688969316572,1.0,,월명,Noun
138,,,,,,,,,,,,,,,,,코스,Noun
139,,,,,,,,,,,,,,,,,소개,Noun
140,,,,,,,,,,,,,,,,,아주,Noun
141,,,,,,,,,,,,,,,,,향골,Adjective
