단어,빈도수
상대로,5
상대방,3
상동읍,1
상량문,2
상록구,1
상록수,1
상류층,18
상리탕,1
상무지구,1
상반기,5
상방리,1
상비약,2
상사화,22
상상력,2
상수도,5
상아색,1
상암동,1
상업시설,1
상업지구,2
상여소리,1
상전면,4
상주면,1
상주시,11
상징물,5
상차림,56
상춘객,5
상춘곡,15
상춧잎,1
상콤달콤,1
상콤시,1
상콤함,1
상타취,1
상평동,2
상품권,35
상품화,3
상하이,9
상하이사변,1
상해임시정부,1
샅샅이,1
새끼고양이,6
새내기,3
새로고침,1
새로웟다,1
새로이,2
새록새록,10
새마을,11
새마을금고,1
새마을호,2
새만금,42
새만금북로,1
새벽같이,4
새벽녘,2
새벽이슬,3
새색시,1
새소리,9
새송이,6
새신랑,2
새싹삼,2
새야새야,6
새우깡,2
새우등,3
새우젓,6
새초롬,4
새치기,1
새콤달콤,1
새호리기,1
색바랜,1
색색이,1
색소폰,2
색스폰,2
색연필,2
샌드된,1
샌드위치,196
샌딩및,1
샐러드,285
샐러듴,1
샘골정,7
생강차,9
생격나,1
생겼더랬다,1
생겼죵,1
생겼쥬,1
생겼쬬,1
생계비,1
생귤차,1
생극면,1
생글생글,1
생기지,1
생김새,8
생난리,1
생동감,9
생뚱맞,3
생리통,1
생마즙,1
생맥주,4
생명공학,5
생명과학,1
생명력,5
생명수,1
생명연장,1
생명체,5
생물권,6
생물다양성,10
생방송,4
생방송투데이,4
생산량,4
생생정보통,4
생선회,3
생으로,13
생일상,1
생정보,1
생채기,1
생초콜릿,10
생크림,88
생태계,31
생태관광,215
생활관,15
생활비,1
생활용품,7
생활의달인,16
생활화,4
샤르르,1
샤르르르,1
샤머스,1
샤브샤브,97
샤브집,4
샤브집와,1
샤슬릭,4
샤실릭,1
샤오미,1
샤워룸,2
샤워실,37
샴페인,4
샷샷샷,1
샷오늘,1
샷으루,1
샷입니,2
샹들리,12
샹들리에,1
서경별곡,1
서귀포,9
서귀포시,9
서기대,2
서까래,4
서나리,1
서낭당,4
서대문,1
서대문형무소,1
서대신동,1
서대전,1
서동요,1
서러움,1
서방정토,1
서북구,1
서브웨이,1
서븨스,1
서비스업,1
서사시,1
서산시,6
서삼릉,1
서상동,1
서생면,2
서서히,8
서성로,2
서식지,3
서신면,3
서연지,1
서영여고,7
서예가,2
서오릉,1
서울대,1
서울숲,1
서울시,2
서울역,11
서울특별시,15
서원철폐령,6
서이추,4
서인석,2
서장어,1
서정원,1
서종면,1
서지역,2
서천군,3
서커스,2
서택환,1
서편제,4
서포터즈,1
서프라이즈,3
서해안,10
석가모니,4
석가모니불,1
석가여래,1
석가탄신일,2
석갈비,19
석굴암,2
석기시대,1
석문면,2
석불입상,8
석장리,1
석적읍,2
석주로,1
석촌호수,1
섞박지,2
선견지명,1
선교사,3
선구자,2
선글라스,4
선바위,1
선봉군,1
선사시대,2
선생님,46
선샤인,1
선암사,6
선양루,6
선운사,70
선운산,93
선원동,1
선유도,19
선인장,4
선입견,6
선재도,1
선재리,1
선지국,2
선착순,23
선착장,5
선크림,3
선풍기,14
선홍빛,1
선화공주,1
섣불리,2
설거지,7
설겅설겅,1
설렁탕,12
설레임,4
설문조사,6
설상가상,1
설선물,1
설악동,2
설악산,19
설연휴,2
설운동,1
설천면,2
설특집,1
설프코너,1
섬유소,1
섬유질,2
섬진강,56
섬진강댐,12
성거산,1
성거읍,1
성결교회,3
성곡동,2
성공사례,1
성관계,1
성교육,1
성균관,2
성균관대,1
성남시,1
성내로,1
성당면,1
성덕대왕,1
성동구,1
성동일,1
성리학,11
성리학자,2
성북동,4
성산구,1
성산면,2
성산읍,1
성산일출봉,1
성산포,1
성성이,1
성애자,2
성의껏,1
성인봉,2
성주군,2
성주면,2
성주산,2
성지순례,6
성천항,2
성춘향,1
성취향,1
성탄절,2
성황리,1
세가족,2
세계박람회,2
세계보건기구,1
세공품,1
세네갈,3
세라믹,1
세레모니,1
세로글씨,1
세르반테스,1
세면대,32
세무서,12
세미나,7
세바퀴,1
세뱃돈,2
세상만사,4
세스코,2
세이브,1
세자매,1
세종대왕,1
세종시,4
세차장,1
세탁기,2
세탁물,1
세팅되,3
세팅된,1
세팅또,1
세팅해,1
세팅해주닞,1
센닝입니,5
센쓰쟁이셔,1
센트럴,7
센트럴시티,2
셀프서비스,3
셋뚜쎗투,1
셋이므,1
셋팅되,1
셋팅되어,3
셋팅된,3
셋팅됩니,1
셋팅합니,1
셋팅해,1
셋팅후,1
셔서둥스,1
셔틀버스,64
셰이크,2
소갈비,4
소갈비찜,1
소고기,125
소규모,13
소금강,2
소나기,10
소나무,118
소도시,6
소독약,2
소독제,8
소뚱빠,2
소록도,2
소림사,1
소매물도,2
소머리국밥,16
소믈리에,1
소백산,1
소백산맥,1
소비자,12
소설가,2
소성면,8
소세지,21
소쇄원,8
소수서원,19
소스류,2
소시지,8
소싸움,1
소아과,3
소양면,1
소영이,9
소요대사,2
소용돌이,1
소원면,2
소유권,1
소유자,1
소음기,4
소자본,5
소재지,11
소주잔,1
소지품,2
소진하,1
소프트,5
소프트아이스크림,4
소프트웨어,2
소화기,3
소화도,13
소화전,1
속리산,3
속리산면,1
속사정,1
속에후릅,1
속초시,3
속풀이,1
손가락,18
손글씨,4
손동작,2
손맛목,1
손바닥,8
손병희,3
손사래,1
손세정제,3
손소독,26
손소독제,23
손수건,6
손씻기,1
손아귀,2
손예진,2
손잡이,7
손재주,4
손찌릿,1
손편지,1
손호영,2
손홍록,7
솓구치,3
솔드아웃,9
솔루션,7
솔바람,1
솔방울,2
솔선수범,1
솔티골,1
솔티드,6
솔티숲,123
솔향기,2
솔향머,1
솜사탕,27
솟을대문,8
송골송골,3
송광사,5
송글송글,1
송나라,1
송년디,1
송년회등,1
송대관,8
송도유원지,1
송도해수욕장,1
송두리째,2
송라면,1
송리단길,1
송명섭,1
송병준,1
송사리,1
송산동,5
송산면,2
송선미,1
송세림,7
송시열,5
송엽국,1
송우암,1
송이버섯,7
송정리역,1
송정역,6
송정해수욕장,2
송제림,1
송죽길,5
송죽마을,5
송죽마을송죽마을,1
송준길,3
송지면,1
송지호,1
송참봉,16
송천동,3
송충이,1
송하경,2
송하진,1
송학동,1
송현동,1
송현리,1
송호항,1
쇠고기,7
쇠붙이,1
쇠소깍,2
쇼케이스,30
쇼콜라,18
쇼핑몰,6
숍입니,1
수강생,3
수경재배,3
수구문,1
수덕사,2
수도권,22
수도꼭지,2
수도원,2
수도자,2
수돗물,1
수동면,1
수라상,4
수레국화,1
수력발전,1
수로왕릉,1
수룡리,3
수리부엉이,7
수목원,31
수묵화,2
수박화채,1
수산물,18
수산시장,2
수상스키,1
수상한,1
수서곤충,1
수서역,4
수선화,7
수성구,1
수성동,352
수세미,1
수세식,2
수송동,1
수수료,4
수식어,10
수양버들,2
수영복,3
수영장,46
수완동,1
수용성,1
수원시,4
수원역,1
수원화성,3
수익금,3
수자원,1
수자원공사,2
수정과,9
수제비,34
수제사,1
수제천,11
수족관,1
수주면,1
수증기,1
수채화,1
수플레,3
수피아,1
수학여행,7
수행원,1
수형도,1
수화기,1
수확량,2
숙박동,2
숙박룸,1
숙박시설,34
숙박업소,5
숙빈최씨,7
숙셋이,1
숙주나물,8
숙회찜,2
순간이동,1
순간포착,1
순교자,13
순국선열,2
순두부,9
순두부찌개,6
순둥순둥,2
순딩순딩,2
순백색,1
순서대로,8
순식간,20
순우리말,4
순진무구,1
순찰사,1
순창군,64
순창읍,3
순천만,21
순천시,6
순천역,11
순환도로,7
순환버스,20
숟가락,82
술안주,9
숨바꼭질,1
숨쉬기,2
숨은그림찾기,1
숨펜션,14
숭덩숭덩,2
숭덩하,2
숭인동,1
숭일고,1
숲가파른,1
숲꽃잠,4
쉐이크,20
쉐킷쉐킷,2
쉐킷쉐킷가볍,1
쉐킷쉐킷해,1
쉬림브,1
쉬엄쉬엄,6
슈치즈,1
슈크림,13
슈크빵,2
슈패너,11
슈패너쫘좐,1
슈퍼맨,1
슉슉빠져,1
스고이,1
스끼없,1
스나이퍼,2
스냅샷,1
스노보드,1
스노우,17
스노우볼,1
스누피,1
스럽쥬,1
스롭다,1
스르르,2
스마일,6
스마트,34
스마트폰,15
스매싱,1
스며듭니,1
스모커,1
스무디,82
스무살,3
스믈스믈,2
스스로,34
스아실,1
스와로브스키,1
스웨덴,1
스웩있음,1
스위스,1
스위치,4
스위트,6
스을쩍,1
스카우트,3
스카이,4
스카이웨이,1
스카치,2
스카프,1
스캐너,1
스커스,1
스케이트,2
스케일,7
스케줄,2
스케쥴,2
스케치,3
스코니,2
스쿠터,2
스쿨버스,2
스쿱씩,1
스크럼,1
스크롤,3
스크린,17
스키장,5
스킨로션,4
스킨푸드,3
스타렉스,4
스타벅스,23
스타킹,1
스타트,5
스태미너,1
스탠다드,1
스탠드,3
스탠딩석,1
스탬프,15
스탬프팝,1
스터디,142
스테미너,2
스테이,5
스테이션,2
스테이크,50
스테인리스,1
스테파니,12
스텐드,1
스텐실,1
스텔라,2
스토리,66
스토리텔링,4
스토어,6
스톱워치,2
스투키,3
스튜디오,22
스트럭트스트럭트,1
스트레스,55
스트로,32
스트로베리,7
스트리밍,1
스트릿,2
스트링램프,1
스티로폼,1
스티커,15
스틸컷,1
스파게티,10
스파이,1
스파이더맨,2
스파이크,2
스파클링,4
스펀지,1
스페셜,21
스페인,7
스펙트럼,1
스펜서,2
스폐셜,2
스포츠,11
스폰지,2
스퐈실,1
스프레드,1
스프레이,1
스프링,2
스프링롤,1
스피드,2
스피커,18
슬그머니,2
슬금슬금,1
슬라이드,2
슬라임,2
슬러시,30
슬로건,3
슬로시티,6
슬로우,38
슬리브,2
슬리퍼,9
슬펐더랬다,1
슬포라하,1
슴미다꺄,1
슴슴한데,1
슴슴합니,1
슴슴해,2
습습니,1
승강기,1
승강장,12
승검초편,1
승락했다,1
승리자,1
승부역,1
승승장구,1
승용차,2
승차권,6
승촌보,2
승합차,1
승혀닌,1
시간권,4
시간대,47
시간여행,5
시간표,82
시공간,1
시공사,1
시금치,7
시기동,148
시기상조,1
시나리오,4
시나몬,14
시나몬롤,5
시내버스,18
시냇가,3
시냇물,4
시너지,46
시네마,2
시네마테크,14
시니어,3
시드라,1
시디즈,4
시래기,41
시레기,1
시루떡,1
시리얼,4
시리즈,9
시멘트,8
시민운동,1
시부모,4
시선집중,2
시스템,52
시시각각,3
시아버지,8
시어머니,25
시외버스,73
시운전,3
시장님,1
시청각,1
시청률,1
시카고,1
시켜볼껄,1
시켰숨돠,1
시크릿,3
시큰둥,1
시킬껄,3
시트콤,1
시티투어,4
시퓨은곳,1
시행착오,2
시화방조제,2
식곤증,1
식기구,4
식당가,11
식도락,1
식도염,1
식물섬유,2
식물성,2
식물원,42
식물학,1
식민지,1
식육목,2
식은땀,2
식이섬유,2
식중독,1
식충식물,1
식탁보,1
식후땡,2
식후콕,1
신가동,1
신갈정류장,1
신경계,1
신경수,1
신경안,1
신경통,4
신교대,2
신기하,1
신나라,1
신녕면,1
신대륙,1
신덕면,1
신데렐라,2
신도시,2
신동읍,2
신라면,3
신라시대,8
신륵사,1
신림면,3
신문지,1
신바람,1
신발장,11
신방로,1
신분제,1
신분증,10
신사복,1
신사참배,7
신생아,1
신선도,11
신선삼,2
신세계,18
신세대,1
신승훈,1
신시도리,2
신아영,1
신안군,3
신앙심,1
신용희,10
신웅리,1
신월동,44
신의주,1
신입생,1
신재효,2
신정동,18
신정원,1
신제품,2
신조어,2
신종교,1
신지도,3
신지면,1
신창동,2
신채호,1
신천지,24
신청서,7
신축년,4
신탄리역,1
신태인,55
신태인역,11
신태인읍,21
신평면,1
신호등,5
신혼부부,2
신혼여행,1
신혼집,5
신효동,1
신흥동,2
신흥사,1
실개천,1
실랑이,1
실루엣,2
실시간,22
실크로드,1
실키실키,1
심곡항,1
심박수,1
심부름,1
심사숙고,1
심사평가원,1
심상찮,2
심심찮,1
심심함,4
심야버스,1
심예슬,1
심원면,1
심은지,1
심인섭,1
심지어,66
심쿵사,1
심포항,6
심호흡,1
십만원,2
십이경,1
십이원,1
십이지,1
십이지신상,1
십자가,2
십자수,3
싯다르타,2
싱그랭,6
싱글벙글,1
싱기쓰,1
싱기해,1
싱기했던,1
싱숭생숭,1
싱크대,4
싱크로,5
싶었슴다,2
싶었죵,2
싶죠잉,1
싸가지,6
싸구려,4
쌀국수,71
쌍계사,1
쌍둥이,5
쌍떡잎식물,2
쌍룡리,1
쌍림면,1
쌍방울,1
쌍웅리,3
쌍치면,8
쌍화점,1
쌍화탕,452
쌓이네,1
쌔근쌔근,1
쌔지않,1
쌩둥맞,1
쌩뚱맞,2
써니윤,1
썸네일,8
쎈쓰쟁,1
쏭깨비,2
쑤블리,2
쑥부쟁이,5
쓰레기,23
쓰레기봉투,1
쓰왑쓰왑,1
쓰죠잉,2
쓰픽진진쓰픽,1
쓴웃음,2
씌여있기,1
씌익씌익,2
씨름인,1
씨리얼,3
씨받이,3
씸플함,1
아가서,1
아가시,1
아가씨,4
아가페,1
아구몬,4
아구찜,18
아궁이,11
아그라,1
아기자기,50
아나운서,1
아나키스트,2
아난다,1
아날로그,3
아네모네,42
아뉩니다,2
아늑햇,1
아늑햇던,1
아니곸,1
아니넴,1
아니쥬,3
아닌걸루,1
아다다,1
아도니스,4
아드님,4
아드보,2
아디오스,1
아띠블리,14
아라라,1
아라마루,1
아라뱃길,2
아라비아,9
아라빛섬,1
아라파,1
아라하,1
아랑곳,3
아래쪽,28
아래층,1
아랫목,3
아랫쪽,9
아로마,7
아로마테라피,2
아룸다움,1
아르떼,1
아르마니,1
아르바이트,1
아름드리,10
아름이,1
아리랑,5
아마데우스,2
아마존,3
아마추어,1
아메로,2
아메리카,3
아메리카노,556
아메리칸,5
아몬드,34
아무나,2
아므튼,1
아미노산,5
아미타부처,1
아미타불,6
아바이,1
아바타,1
아버님,23
아버지,31
아보카도,12
아부지,25
아사히,2
아산면,3
아산병원,10
아산시,3
아소영,1
아수라,1
아숩다진차,1
아쉬움,76
아쉬웁,2
아쉬웡,1
아쉽드,1
아스타,23
아스터,5
아스파라거스,1
아스팔트,2
아슬아슬,2
아슬위,1
아시아,19
아시아나,1
아시안,1
아식스,1
아싸라비야,1
아야진항,1
아우라,2
아우성,4
아웃도어,1
아웃백,4
아이덴티티,4
아이돌,1
아이디,4
아이디어,16
아이러니,4
아이리스,1
아이맥스,1
아이보리,5
아이비,7
아이스밀크,4
아이스박스,7
아이스커피,10
아이스크림,213
아이스티,56
아이스팩,3
아이슬란드,2
아이싱,3
아이유,27
아이콘,13
아이템,16
아이패드,2
아이폰,13
아이피,2
아인슈패너,2
아인슈페,1
아인슈페너,19
아일랜드,8
아저씨,28
아제르바이잔,1
아주대병원,1
아주머니,26
아줌마,10
아지랑이,4
아지트,19
아쩜이리,2
아칙고싯,2
아칙요식,1
아침밥,10
아침식사,15
아침햇살,2
아카데미,5
아카시아,1
아카이브,3
아쿠아리움,2
아크릴,2
아토피,2
아트윌,1
아틀리에,1
아티스트,1
아파트,69
아파해,1
아포가토,6
아폴로,1
아프리카,7
아홉수,1
악기장,1
악세사리,1
악센트,1
악순환,1
악천후,1
악학궤범,6
안개꽃,1
안길수,2
안남로,1
안남면,1
안내서,1
안내소,73
안녕하십니까,1
안뇨옹,1
안단테,1
안덕면,2
안도현,1
안동댐,1
안동시,16
안되겠니,1
안드네,2
안드로이드,1
안드로이드폰,1
안마당,2
안면도,7
안면읍,7
안목항,1
안봉석,1
안산시,6
안산암,1
안생샷,1
안성맞춤,21
안성시,4
안수민,2
안식처,2
안압지,2
안양루,1
안전교육,6
안전성,8
안정감,5
안정화,4
안젛아해,1
안주시,1
안주인,10
안중근,5
안지혜,1
안쫄아,1
안천면,5
안철수,1
안테나,1
안항섭,1
안흥항,1
앉았슴다핫플,1
앉은자리,2
않았슴다,1
않으닌까,1
알갱이,11
알겠슴,1
알곘다,1
알고리즘,1
알락꽃,1
알러지,4
알레르기,7
알로하,2
알록달록,31
알리바바,32
알맹이,2
알바생,11
알바인,1
알베르토,1
알슨생,1
알알이,8
알코올,3
알콜중독,1
알콩달콩,8
알파벳,1
알흠답,1
암릉또,1
암벽등반,1
암벽타기,3
암치료,2
암퇘지,2
압강옥압,1
압력밥솥,1
압력솥,1
압인기,1
앙꼬없는,1
앙드레,1
앙빵빠,1
앙상블,1
앙성면,2
앞다리,4
앞다릿살,1
앞마당,14
앞머리,2
앞바다,1
앞서서,3
앞치마,10
애견미용사,1
애견미용실,1
애견샵,1
애국심,1
애국지사,2
애기야,1
애니메이션,9
애벌레,2
애슐리,1
애완견,12
애완동물,7
애월읍,3
애프터눈,2
애플파이,9
애피타이저,6
애호가,5
애호박,21
액기스,1
액상과당,1
액세서리,2
액티부키,3
앤북스,1
앤티크,6
앨리스,3
앨범커버,1
앱스토어,2
앵두나무,1
앵무새,6
야구장,2
야기도,1
야단법석,1
야들야들,6
야무즤,1
야생고양이,1
야생동물,8
야생화,25
야시장,5
야영장,73
야영지,2
야옹이,3
야자수,1
야쿠르트,2
야탑역,1
야행성,1
약난초,2
약수터,6
약재료,1
약탕기,8
양갈래,1
양고기,1
양구군,1
양귀비,11
양귀비꽃,2
양남면,3
양념감자,1
양념장,22
양념치킨,1
양념통닭,1
양림동,2
양배추,40
양북면,1
양사언,1
양산도,1
양산면,1
양산시,1
양상추,7
양서류,4
양서면,1
양서파충류,2
양성면,1
양성우,1
양송이,2
양수리,1
양수빈,1
양양군,5
양으로,9
양은혜,1
양자강,303
양자수,2
양잿물,1
양정동,1
양조장,11
양주시,1
양지역,1
양천구,1
양파링,1
양평군,9
양포항,1
어게인,1
어금니,1
어니언,9
어두우,1
어두운,1
어두움,1
어두컴컴,1
어두컴컴쓰,1
어드벤처,6
어디가,33
어디었는,1
어딘가,15
어딘데,1
어딘인,1
어딧을까,1
어딨드,1
어떘을까,2
어뗗제,1
어레인지먼트,1
어려움,21
어룡동,1
어르신,75
어른벌레,2
어린시절,4
어린왕자,6
어린이,142
어린이날,2
어린이재단,2
어린이집,11
어머나,5
어머니,99
어머님,31
어머님께,1
어멈입니,1
어메니티,10
어메이징,1
어무니,1
어바웃타임,1
어반걸,2
어방동,4
어버이,1
어버이날,10
어부바,1
어사화,1
어서어서,5
어스름,1
어슴프레,2
어어어어,3
어우려져,3
어울림,8
어은돌,2
어젯밤,2
어죽같,1
어지러움,1
어징어,1
어째서,1
어쨌거,6
어쨌든,33
어쩌겠어,1
어쩌구,3
어쩌다가,4
어쩌면,22
어쩐지,24
어차피,26
어캐한거,1
어패류,2
어플리케이션,4
억지로,4
언냐덜,1
언니네,5
언덕길,1
언론사,2
언론인,1
언박싱,2
언양읍성,1
언어치료,1
언주로,1
언택트,22
얼그레이,18
얼떨결,2
얼렁뚱땅,1
얼마만큼,3
얼마였드,1
얼음장,1
얼음찜질,1
얼핏보,1
엄근진,2
엄동설한,1
엄마빠,1
엄마압찌,1
엄정면,1
엄지발가락,1
엄지손가락,1
엄청셔,1
엄청쫀득,1
업그레이드,19
업데이트,7
업로드,21
없겠쥬,1
없구욤,1
없댜비,1
없드라구,1
없습니닼,1
없었슴다,2
었습니,2
엉덩이,14
엉터리,1
엊그제,3
에그몽,1
에그베네딕트,46
에그인헬,30
에그타르트,49
에끌레르푸짐하쥬,1
에너지,17
에너지드링크,1
에다가,1
에델바이스,4
에디터,1
에뜨왈르,6
에르메스,3
에버랜드,4
에뻤어,1
에세이,3
에센셜,1
에스컬레이터,2
에스키모,4
에스프레소,23
에어드랍,1
에어드롭,1
에어리얼,5
에어비앤비,17
에어컨,61
에어콘,1
에어팟,8
에이스,6
에이트,1
에코랜드,1
에코비,1
에쿠스,2
에트로,1
에티엠기,1
에티오피아,1
에티켓,7
에펠탑,1
에폭시,1
에피소드,1
에피타이저,10
엑기스,2
엑설런트,1
엑스포,11
엔돌핀,2
엔지니어,3
엔터테인먼트,2
엔틱한,1
엔틱함,1
엔틱해,1
엘도라도,3
엘레베이터,6
엘리베이터,17
엘리스,1
엘리시움,1
엠블랙,1
엠엘엠,2
여고괴담,1
여고생,1
여깄습니,1
여닫이,1
여동생,2
여량면,1
여러가지,101
여러해살이,1
여러해살이풀,4
여름날,10
여름밤,2
여름방학,11
여름철,34
여름캠프,2
여리고,1
여서동,1
여섯시,1
여수공항,1
여수시,16
여수엑스포,1
여수엑스포역,7
여우주연상,1
여월동,1
여유도,5
여의도,3
여의동,1
여의었으,1
여의주,1
여자도,1
여자아이,2
여자애,1
여자친구,11
여주군,2
여주시,3
여주읍,1
여직원,2
여진구,1
여쩌보,1
여쭤볼껄,1
여태껏,1
여하튼,3
여학생,1
여행가,25
여행가이드,8
여행객,38
여행기,32
여행명소,2
여행사,7
여행사진,3
여행자,14
역류성,1
역사관,2
역사교육,1
역사탐방,1
역이기,2
연곡면,1
연관검색어,2
연구기관,2
연구소,22
연구원,22
연근조림,6
연기금,1
연기력,1
연기면,3
연날리기,2
연남동,1
연년생,1
연대기,2
연두빛,7
연두색,2
연둣빛,2
연뙧료전,1
연락망,1
연락처,48
연미복,1
연분홍,1
연산홍,1
연수구,1
연수동,1
연습장,2
연양동,1
연어초밥,3
연예인,26
연잎밥,1
연정훈,6
연주가,1
연주회,3
연중행사,2
연지동,74
연천군,5
연천읍,1
연초록,6
연탄구이,1
연탄재,10
연터랍니,1
연풍면,2
연합뉴스,9
연행사,1
열두시,2
열린음악회,1
열무김치,25
열사병,2
열씸히,1
열차표,1
열한시,2
염치읍,2
엽떡로제,3
엽떡파티,1
엽합회,1
엿샛날,1
였슘미,1
였어욤,1
영광군,3
영남면,2
영덕군,2
영도구,1
영도자,1
영동군,1
영동역,1
영등굿,1
영등동,2
영등포,3
영사관,2
영사기,1
영산강,8
영산포,1
영상통화,1
영수증,34
영암군,4
영암읍,3
영양가,1
영양면,2
영양성분,1
영양소,1
영양식,2
영어학원,4
영업비밀,1
영원면,14
영월군,7
영월읍,4
영은사,29
영의정,1
영장류,1
영정사진,2
영종도,6
영주산,1
영주시,2
영천시,5
영춘면,1
영춘제,1
영통구,2
영향력,1
영화감독,2
영화계,2
영화관,10
영화로,4
영화사,1
영화상,1
영화음악,1
영화제,7
영흥도,3
영흥면,5
옆구리,2
옆모습,2
예고편,1
예래동,1
예방접종,3
예배당,8
예뻐욤,2
예뻤댜까눌레,1
예뽀용,1
예뿌죵,1
예쁘닺,1
예쁘쁘,1
예쁘쟈,1
예쁘죵,1
예쁘쥬,1
예산군,3
예상외,2
예수교,1
예수님,1
예술가,4
예술인,2
예식장,8
예약판매,1
예지원,1
예천군,1
옐로우,3
옐로우스톤,3
오가면,3
오곡면,1
오골계,2
오구오구,1
오글룬,2
오기원,1
오늘날,7
오늘밤,1
오늘아침,1
오늘이,9
오대산,8
오도독,6
오동도,3
오두막,2
오들오들,4
오디션,1
오디오,3
오뚜기,1
오라버니,1
오락가락,12
오락실,2
오래됨,1
오래오래,6
오레오,18
오렌지,22
오렌지색,4
오로라,5
오륙도,3
오르다,1
오르락,2
오르락내리락,3
오르막,19
오른발,1
오른손,3
오리가,5
오리고기,20
오리로,3
오리엔테이션,1
오리탕,13
오마이,3
오마이갓,3
오만둥이,1
오만원,1
오매불망,1
오메가,1
오목조목,1
오믈레,1
오믈렛,1
오미자,49
오미자차,87
오밀조밀,4
오백원,4
오보면,1
오봉산,3
오블리주,1
오블릭,1
오상민,1
오상진,1
오션월드,2
오소리,1
오솔길,53
오순도순,1
오스트리아,1
오승열,1
오아시스,3
오오오,5
오오오오,2
오오오오오,1
오우야,1
오월드,1
오유민,1
오이김치,1
오이나,2
오이도,1
오이랑,2
오이만,1
오이소박이,2
오이지,4
오일이,1
오일장,2
오작교,10
오정구,1
오정혜,1
오조억,1
오조오억,1
오죽헌,1
오지랖,2
오지리,1
오지호,2
오징어,52
오천성,1
오천원,5
오층석탑,6
오케이,5
오키나와,1
오토바이,1
오트밀,10
오페라,1
오프라인,12
오프로드,1
오픈카,1
오피스,1
오홓홍,1
오히려,87
옥녀봉,7
옥도면,1
옥돌생,1
옥룡면,2
옥산서원,11
옥수수,15
옥진각,2
옥천군,2
옥천면,1
옥펜션,3
옥황상제,1
온난화,2
온누리,4
온누리상품권,5
온도계,3
온돌방,3
온라인,36
온비드,2
온정면,1
온종일,3
올가을,8
올랐죵,1
올레길,30
올리고당,1
올리버,15
올리브,8
올리브영,4
올리브오일,3
올리브유,1
올린다,7
올림픽,3
올망졸망,2
올빼미족,1
올여름,2
올인원,1
올챙이,3
옴뇸뇸,3
옷가게,6
옷가지,2
옷차림,3
옹기종기,10
옹달샘,2
옹동면,4
옹심이,1
옹진군,7
와르르,2
와보쟈,1
와봤슈,1
와사비,71
와서브런취,1
와야겐노,1
와이드,1
와이파이,40
와이파이존,2
와이퍼,1
와이프,18
와인잔,9
와일드,1
와쩌욘,1
와튼즈,1
완도군,7
완도읍,3
완동길,1
완두콩,3
완뚝정도,1
완락재,1
완산구,16
완산주,1
완저제,1
완전무결,1
완전체,4
완종주,1
완추완추,1
완충제,3
완판됐어,1
왓는데,1
왓을때,1
왓을땐,1
왔슴다,5
왔슴다저번,1
왔슴당,1
왔어욜,1
왔어욤,1
왔지욤,1
왕눈이,1
왕벚나무,1
왕산로,6
왕새우,7
왕세자,1
왜그러지,2
왜냐면,20
왜일렇,1
왜저뤱,1
왜케춥,1
외갓집,3
외계인,1
외교부,1
외국산,1
외국어,1
외국인,30
외도보타니아,1
외따로,2
외딴섬,1
외떡잎식물,1
외로움,5
외부모,1
외산면,1
외삼촌,5
외숙모,1
외아들,1
외양간,2
외옹치항,1
외잃엌해,1
외할머니,6
외할아버지,1
외환위기,1
요거슨,3
요거트,107
요구르트,5
요구사항,2
요다음,13
요러케,2
요렇구,1
요리사,2
요리조리,18
요시모토,2
요양원,1
요요기,1
요즈음,4
요지경,1
요지부동,1
요촌동,2
욕지도,1
욤귀욤,3
용계동,1
용굴암,5
용궁면,1
용궈니,2
용궐산,6
용담댐,9
용도지역,4
용두머리,3
용머리,3
용문면,3
용문산,3
용문역,1
용봉동,2
용봉탕,1
용비어천가,1
용산동,6
용산역,7
용유해변,1
용의자,2
용적률,1
용주면,2
용천사,1
용촌산,1
용해도,2
용호동,1
우거지,9
우금치,4
우도면,1
우드랜드,4
우러나,2
우러나면,3
우러나서,1
우러나온,4
우러났는,1
우렁된장,5
우렁쌈밥,8
우렁쌈밥쥡,1
우렁쌈밥집,1
우렁쌈장,6
우렁요리,1
우렁이,387
우렁초무침,4
우루스,1
우르르,3
우리껀,1
우리네,1
우리동네,11
우리둘,3
우리땅,1
우리말,4
우리별,1
우리엄마,2
우리은행,1
우산도,6
우삼겹,1
우석대학교,3
우성면,1
우수상,1
우수수,1
우수영,9
우스개,1
우스갯소리,1
우암로,61
우여곡절,8
우연이,1
우연찮,2
우영식,2
우울증,1
우적우적,1
우정호,2
우주관,1
우주선,2
우주소,1
우즈베키스탄,2
우즈벡,1
우체국,9
우체통,10
우쿨렐레,1
우크렐레,2
우포늪,5
우헤해,1
우후죽순,2
우히히,1
우히히히,1
운겉바,1
운동량,2
운동벙,1
운동장,21
운동화,12
운림산방,1
운문면,3
운문사,1
운봉읍,1
운서동,1
운서정,1
운암면,23
운일암,2
운전기사,3
운전대,2
운전면허,2
운전사,1
운전자,3
운종리,1
운주면,3
운주사,5
울긋불긋,16
울돌목,3
울음소리,2
울주군,3
울진군,3
울타리,7
울트라,1
움직임,12
움츠러,1
웃음꽃,1
웃음소리,1
웅덩이,4
웅웅거림,1
웅진동,1
웅천동,2
웅천읍,1
웅포곰,1
워밍업,2
워셔액,1
워크샵,4
워크숍,2
워킹맘,1
워터파크,54
원거리,1
원고료,3
원광대,1
원광보건대,3
원남면,2
원더풀,1
원데이,18
원동력,3
원두막,5
원북면,1
