단어,빈도수
글씨체,6
긁힌거,1
긇주콇,1
금가루,1
금강로,1
금강산,22
금강천,1
금곡교,1
금남로,2
금남면,1
금낭화,1
금마면,1
금메달,1
금붕동,3
금붕어,1
금산군,3
금산면,7
금산사,17
금상첨화,6
금속활자,1
금손이셔,1
금수면,2
금오도,5
금오산,2
금오산로,1
금요일,46
금욜날,1
금융기관,1
금정구,2
금호고,1
금호동,1
급경사,3
급땅겨,1
급상승,3
급속도,1
긔여웠어,1
기가애드,2
기간산업,1
기계로,7
기계면,1
기공식,7
기관지,2
기네스북,1
기념관,152
기념물,8
기념비,25
기념샷,2
기념일,24
기념품,20
기념품점,2
기능장,1
기다림,17
기대승,1
기독교,8
기독교인,1
기러기,1
기러기목,1
기렸다,1
기록관,2
기록물,4
기름값,1
기름기,10
기반시설,8
기본권,1
기본소득,2
기사도,1
기사문항,1
기상관측,2
기상이변,2
기상재해,2
기상청,4
기상캐스터,13
기상현상,6
기성품,3
기성회,1
기세니,1
기소진,1
기숙사,19
기업은행,1
기업인,3
기업체,2
기엽다,1
기와집,6
기왓집,1
기울기,1
기자회견,1
기장군,5
기장읍,1
기저귀,2
기정식,3
기제목,1
기지개,3
기지역,1
기차역,14
기차표,1
기타리스트,2
기타연주,2
기프티콘,1
기필코,1
기해년,1
기행문,1
기획사,1
기획전,16
기후변화,2
긴머리,2
긴장감,4
긴장도,1
길거리,40
길고양이,2
길냥이,15
길라잡이,3
길림성,7
길상면,1
길상사,1
길소뜸,1
길자연,1
길잡이,8
김개남,6
김경기,1
김광석,1
김광섭,1
김굉필,3
김기동,1
김기홍,1
김기환,1
김나영,1
김녕리,1
김대중,3
김대희,4
김덕만,2
김도연,4
김동수,30
김동욱,1
김동철,1
김때횬,1
김만덕,1
김말이,3
김명곤,1
김문현,2
김밥천국,12
김범룡,3
김병로,2
김병종,4
김병철,1
김보영,2
김복희,1
김부식,1
김상태,1
김서형,3
김선정,1
김소월,1
김수빈,2
김순옥,2
김순희,5
김승호,1
김승희,1
김신조,2
김연우,1
김영균,2
김영모,2
김영상,3
김영채,1
김영철,6
김용옥,1
김용임,2
김용재,2
김용희,1
김우성,1
김원영,1
김원희,1
김윤하,1
김은서,3
김이랑,1
김인후,6
김장생,1
김재민,1
김재원,2
김재철,1
김정권,2
김제역,10
김종인,1
김종직,1
김준현,3
김준호,1
김지갱,2
김지수,2
김지형,1
김직술,1
김창완밴드,1
김창현,1
김창호,2
김천시,1
김천일,1
김철수,1
김춘수,1
김치볶음밥,12
김치우,1
김치전,3
김치찌개,22
김칫국,6
김태연,24
김태평,2
김태헌,1
김태희,1
김포시,2
김해시,1
김현태,1
김형준,1
김홍도,1
김화읍,2
김환기,1
김희원,1
김희진,1
김희철,1
깃대봉,2
깃대종,31
까놀레,1
까눌레,19
까눌레쑥,1
까르까르,1
까르띠,1
까르보나라,1
까마귀,4
까만색,2
까미나레,14
까치박달,1
까치밥,1
까치수염,1
까투리,3
깍두기,36
깐풍기,5
깔깔이,2
깔꼼깔꼼,1
깔꼼지,1
깔꼼할까,1
깜짝선물,1
깜파뉴,1
깜파뉴같,1
깡다구,1
깨달음,4
깨방정,1
깨소금,2
깨특유,1
깰꼼쓰,3
깰꼼합니,1
깰꼼해,1
깻가루,1
꺄꺄꺄,1
꺄야야,1
꺄핫못,1
꺠끗하,1
껍데기,7
꼐란찜,1
꼬깔모,4
꼬깔콘,1
꼬드김,1
꼬득꼬득,2
꼬득하,1
꼬들꼬들,3
꼬들면,4
꼬들살,1
꼬랑내,1
꼬르따,1
꼬르따또,3
꼬르따또제,1
꼬르륵,6
꼬리표,1
꼬맹이,10
꼬물거리,1
꼬박꼬박,3
꼬불고불,1
꼬불길,1
꼬소하,1
꼬소함,3
꼬숩답니,1
꼬슬꼬슬,2
꼬아감,1
꼬오옥,1
꼬질꼬질,3
꼬챙이,6
꼭대기,12
꼭데기,2
꼭두새벽,1
꼴뚜기,1
꼼곰합니,1
꼽는다,3
꼽는데,3
꼽아꼬,1
꼽아두,1
꼽아주,1
꼽았어,2
꼽요님,1
꼽으라,1
꽁냥꽁냥티격태격,1
꽃가루,2
꽃게탕,2
꽃그늘,2
꽃길속,1
꽃꽂이,1
꽃나무,4
꽃내음,4
꽃놀이,3
꽃다발,31
꽃동네,1
꽃동산,15
꽃들이,70
꽃망울,7
꽃무름,1
꽃무릇,31
꽃바구니,9
꽃받침,2
꽃밭속,1
꽃봉오리,2
꽃사진,9
꽃샘추위,5
꽃송이,5
꽃잔디,3
꽃장식,3
꽃집겸,3
꽃차례,1
꽃처럼,3
꽃항정살,3
꽃힌건,1
꽈배기,13
꽝꽝나무,1
꽹과리,1
꾀죄죄,1
꾸덕쫀득했고꼬끄,1
꾸러미,1
꾹꾸욱,1
꿀꿀이,1
꿀맛꿀맛,1
꿀맛임,1
꿀맛태잉,2
꿀잼일,1
꿀팁밥,1
꿈벅꿈벅,1
꿍차꿍차,2
끄트머리,5
끈끈이,1
끌벅쩍,1
끼리끼리,1
끽해야,1
나가사끼,3
나가사키,2
나가시,3
나가야,5
나가요,2
나갔슘니,1
나그네,5
나날이,3
나노기술,1
나누기,4
나뉘드,1
나니아,2
나들목,8
나들이,154
나뚜루,2
나로도,1
나루몽,6
나루터,1
나룻배,2
나르륨,1
나리꽃,3
나머지,46
나머진,1
나무껍질,1
나무다리,1
